id,text,type,label,category
1,"Subject: Project Sync Minutes - Software Engineering. Hi team, thanks for joining the call today. We discussed progress on deployment pipeline setup. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
2,"Subject: Meeting Agenda: lunch. Dear all, please find attached the agenda for our upcoming lunch scheduled for tomorrow morning at the main auditorium.",email,0,legit_email
3,"Subject: Consultation Hours. Hi Zainab, I am available for project consultation during office hours on next Monday. See you then.",email,0,legit_email
4,Subject: Schedule Update for Software Engineering. Please note that our next class session has been moved to 10 AM in library conference room.,email,0,legit_email
5,"Subject: Assignment Submission: Machine Learning. Dear Professor, attached is my completed assignment for Machine Learning. Please confirm receipt. Best regards, Amina",email,0,legit_email
6,"Subject: Feedback on your pull request. Hi Zainab, I reviewed your changes regarding UI wireframes review. Looks great overall, just left a few minor comments.",email,0,legit_email
7,"Hey, let's grab some coffee around 2 PM before our next class.",sms,0,legit_sms
8,"Subject: Assignment Submission: Machine Learning. Dear Professor, attached is my completed assignment for Machine Learning. Please confirm receipt. Best regards, Amina",email,0,legit_email
9,"Hey, let me know when you get home safely.",sms,0,legit_sms
10,"Subject: Feedback on your pull request. Hi Amina, I reviewed your changes regarding deployment pipeline setup. Looks great overall, just left a few minor comments.",email,0,legit_email
11,"Subject: Consultation Hours. Hi Bob, I am available for project consultation during office hours on 3:15 PM. See you then.",email,0,legit_email
12,"Hey, let me know when you get home safely.",sms,0,legit_sms
13,"Subject: Weekly Status Report. Hello, here is my progress update for this week on the Machine Learning codebase and React frontend components.",email,0,legit_email
14,Can you please send me the notes from yesterday's Software Engineering lecture?,sms,0,legit_sms
15,"Subject: Meeting Agenda: design workshop. Dear all, please find attached the agenda for our upcoming design workshop scheduled for this evening at the main auditorium.",email,0,legit_email
16,"Subject: Assignment Submission: Database Design. Dear Professor, attached is my completed assignment for Database Design. Please confirm receipt. Best regards, Zainab",email,0,legit_email
17,"Subject: Feedback on your pull request. Hi Alice, I reviewed your changes regarding UI wireframes review. Looks great overall, just left a few minor comments.",email,0,legit_email
18,"Please check your Slack when you have a moment, I shared the updated documentation.",sms,0,legit_sms
19,"Subject: Collaboration Request for Machine Learning Project. Hi Oluwaseun, I saw your repository on GitHub and would love to collaborate on the MySQL database schema optimization implementation.",email,0,legit_email
20,"Subject: Consultation Hours. Hi Charlie, I am available for project consultation during office hours on this evening. See you then.",email,0,legit_email
21,"Subject: Feedback on your pull request. Hi Zainab, I reviewed your changes regarding UI wireframes review. Looks great overall, just left a few minor comments.",email,0,legit_email
22,"Subject: Consultation Hours. Hi Grace, I am available for project consultation during office hours on Friday afternoon. See you then.",email,0,legit_email
23,"Subject: Consultation Hours. Hi Michael, I am available for project consultation during office hours on Friday afternoon. See you then.",email,0,legit_email
24,"Subject: Consultation Hours. Hi Alice, I am available for project consultation during office hours on 2 PM. See you then.",email,0,legit_email
25,Can you please send me the notes from yesterday's Algorithms and Data Structures lecture?,sms,0,legit_sms
26,"Subject: Feedback on your pull request. Hi Michael, I reviewed your changes regarding Python bug fixes. Looks great overall, just left a few minor comments.",email,0,legit_email
27,Don't forget to submit your assignment before the midnight deadline.,sms,0,legit_sms
28,"Subject: Project Sync Minutes - SIWES Report. Hi team, thanks for joining the call today. We discussed progress on React frontend components. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
29,Happy birthday Ibrahim! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
30,Great presentation today! Really appreciated your insights on Python bug fixes.,sms,0,legit_sms
31,"Subject: Meeting Agenda: team brainstorming. Dear all, please find attached the agenda for our upcoming team brainstorming scheduled for next Monday at cafeteria.",email,0,legit_email
32,"Hey Amina, are we still meeting for meeting at this evening?",sms,0,legit_sms
33,Happy birthday Sarah! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
34,"Subject: Collaboration Request for Network Security Project. Hi Bob, I saw your repository on GitHub and would love to collaborate on the UI wireframes review implementation.",email,0,legit_email
